sub,eye,bin,perc,rt
sub032,closed,b4,0.666666666666667,0.675047169811321
sub032,closed,b5,0.592592592592593,0.681826923076923
sub033,open,b1,0.839285714285714,0.758836477987421
sub033,open,b2,0.803571428571429,0.741981132075472
sub033,open,b3,0.910714285714286,0.706369047619048
sub033,open,b4,0.928571428571429,0.76875
sub033,open,b5,0.910714285714286,0.726696428571429
sub033,closed,b1,0.811320754716981,0.787355769230769
sub033,closed,b2,0.773584905660377,0.714358974358974
sub033,closed,b3,0.773584905660377,0.715064102564102
sub033,closed,b4,0.830188679245283,0.728685897435897
sub033,closed,b5,0.811320754716981,0.70718954248366
sub034,open,b1,0.839285714285714,0.641011904761905
sub034,open,b2,0.892857142857143,0.610729166666667
sub034,open,b3,0.767857142857143,0.608556547619048
sub034,open,b4,0.803571428571429,0.620803571428571
sub034,open,b5,0.732142857142857,0.604107142857143
